2026-06-17 01:01:36,329 - root - [logging_config.py:61] - INFO - Logging initialized. Log file: /home/tuton/Kanto2026RPi/src/config/../logs/robot_20260617_010135.log
2026-06-17 01:01:37,785 - mazeUtils.device.LiDAR - [LiDAR.py:36] - INFO - Available ports: <ydlidar.Str2strMap; proxy of <Swig Object of type 'std::map< std::string,std::string > *' at 0x7f9c061230> >
2026-06-17 01:01:45,672 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.NORTH, Angle: 0, Distance: 27.899964055660845 cm
2026-06-17 01:01:45,672 - mazeUtils.moveTile - [moveTile.py:537] - DEBUG - Front LiDAR distance: 27.899964055660845 cm, TSD10 distance: 667.3 cm
2026-06-17 01:01:45,673 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.EAST, Angle: 270, Distance: 399.23327540612917 cm
2026-06-17 01:01:45,674 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.SOUTH, Angle: 180, Distance: 291.21244841746545 cm
2026-06-17 01:01:45,675 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.WEST, Angle: 90, Distance: 235.81402829803721 cm
2026-06-17 01:01:45,676 - __main__ - [main.py:70] - INFO - Initial Map:
2026-06-17 01:01:45,683 - __main__ - [main.py:71] - INFO - Current position: (20, 20, 0), front direction: absDirection.NORTH
Layer 0 (altitude=0.0cm, offset=(0.0cm, 0.0cm)):
Known map area: x=20..20, y=20..20
+---+
  @  
+   +
2026-06-17 01:01:45,683 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,684 - __main__ - [main.py:74] - INFO - Next Direction: []
2026-06-17 01:01:45,684 - __main__ - [main.py:75] - INFO - Exploration started.
2026-06-17 01:01:45,685 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,685 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,685 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,686 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,686 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,686 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,687 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,687 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,687 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,688 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,688 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
2026-06-17 01:01:45,689 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (21, 20, 0)
