2026-06-17 01:13:24,722 - root - [logging_config.py:61] - INFO - Logging initialized. Log file: /home/tuton/Kanto2026RPi/src/config/../logs/robot_20260617_011323.log
2026-06-17 01:13:26,158 - mazeUtils.device.LiDAR - [LiDAR.py:36] - INFO - Available ports: <ydlidar.Str2strMap; proxy of <Swig Object of type 'std::map< std::string,std::string > *' at 0x7f75ced410> >
2026-06-17 01:13:30,117 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.NORTH, Angle: 0, Distance: 194.69359949073797 cm
2026-06-17 01:13:30,118 - mazeUtils.moveTile - [moveTile.py:537] - DEBUG - Front LiDAR distance: 194.69359949073797 cm, TSD10 distance: 159.3 cm
2026-06-17 01:13:30,120 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.EAST, Angle: 270, Distance: 384.0235912160931 cm
2026-06-17 01:13:30,122 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.SOUTH, Angle: 180, Distance: 94.00422660021486 cm
2026-06-17 01:13:30,124 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.WEST, Angle: 90, Distance: 286.78784446564305 cm
2026-06-17 01:13:30,125 - __main__ - [main.py:70] - INFO - Initial Map:
2026-06-17 01:13:30,141 - __main__ - [main.py:71] - INFO - Current position: (20, 20, 0), front direction: absDirection.NORTH
Layer 0 (altitude=0.0cm, offset=(0.0cm, 0.0cm)):
Known map area: x=20..20, y=20..20
+   +
  @  
+   +
2026-06-17 01:13:30,142 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:13:30,143 - __main__ - [main.py:74] - INFO - Next Direction: []
2026-06-17 01:13:30,143 - __main__ - [main.py:75] - INFO - Exploration started.
2026-06-17 01:13:30,144 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:13:30,145 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:13:30,145 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:13:30,146 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:13:30,146 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
