2026-06-17 01:20:40,195 - root - [logging_config.py:61] - INFO - Logging initialized. Log file: /home/tuton/Kanto2026RPi/src/config/../logs/robot_20260617_012039.log
2026-06-17 01:20:41,642 - mazeUtils.device.LiDAR - [LiDAR.py:36] - INFO - Available ports: <ydlidar.Str2strMap; proxy of <Swig Object of type 'std::map< std::string,std::string > *' at 0x7f6c5f52c0> >
2026-06-17 01:20:45,670 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.NORTH, Angle: 0, Distance: 253.1936418310542 cm
2026-06-17 01:20:45,672 - mazeUtils.moveTile - [moveTile.py:537] - DEBUG - Front LiDAR distance: 253.1936418310542 cm, TSD10 distance: 241.4 cm
2026-06-17 01:20:45,674 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.EAST, Angle: 270, Distance: 231.53245881127216 cm
2026-06-17 01:20:45,676 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.SOUTH, Angle: 180, Distance: 276.24312429609785 cm
2026-06-17 01:20:45,679 - mazeUtils.moveTile - [moveTile.py:514] - DEBUG - Direction: absDirection.WEST, Angle: 90, Distance: 142.10077332824656 cm
2026-06-17 01:20:45,680 - __main__ - [main.py:70] - INFO - Initial Map:
2026-06-17 01:20:45,702 - __main__ - [main.py:71] - INFO - Current position: (20, 20, 0), front direction: absDirection.NORTH
Layer 0 (altitude=0.0cm, offset=(0.0cm, 0.0cm)):
Known map area: x=20..20, y=20..20
+   +
  @  
+   +
2026-06-17 01:20:45,704 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:45,704 - __main__ - [main.py:74] - INFO - Next Direction: []
2026-06-17 01:20:45,706 - __main__ - [main.py:75] - INFO - Exploration started.
2026-06-17 01:20:48,707 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,708 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,709 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,709 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,709 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,710 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,710 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,711 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,711 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,711 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,712 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,712 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,712 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,713 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,713 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,713 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,714 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,714 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,714 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,715 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,716 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
2026-06-17 01:20:48,716 - mazeUtils.mazeMap - [mazeMap.py:60] - INFO - next goal: (20, 19, 0)
